ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT,image
0.4158886671066284,0.47304514050483704,0.5191388130187988,0.41708123683929443,0.4934222996234894,0.4806261658668518,0.6338914632797241,0.4364278316497803,image_06660.jpg
0.5890450477600098,0.48842722177505493,0.5542295575141907,0.5214278101921082,0.4344085156917572,0.3859502077102661,0.8294990658760071,0.4154808223247528,image_06384.jpg
0.5951777696609497,0.5923367142677307,0.5509869456291199,0.7386261820793152,0.32175782322883606,0.452552855014801,0.6702476739883423,0.5073640942573547,image_04779.jpg
0.5038465857505798,0.5530703067779541,0.6286832690238953,0.56578528881073,0.5288980007171631,0.6487582921981812,0.5082789063453674,0.532168984413147,image_07274.jpg
0.2461434155702591,0.6189345717430115,0.35348013043403625,0.4799012541770935,0.2371540516614914,0.42142242193222046,0.6635529398918152,0.27631425857543945,image_10718.jpg
0.48163533210754395,0.3886193633079529,0.4096524119377136,0.32509082555770874,0.5406689047813416,0.3680495023727417,0.7500032782554626,0.5495970249176025,image_11229.jpg
0.4356459081172943,0.532738208770752,0.661918044090271,0.39371317625045776,0.30743563175201416,0.4549698233604431,0.7398541569709778,0.3653111755847931,image_03226.jpg
0.4601977467536926,0.6417725682258606,0.508089005947113,0.5730932354927063,0.5319437980651855,0.43093571066856384,0.5100291967391968,0.27595752477645874,image_07674.jpg
0.5774672031402588,0.5436743497848511,0.5493785738945007,0.2080429494380951,0.43021854758262634,0.4889342784881592,0.6625741124153137,0.5875588655471802,image_10511.jpg
0.4971836805343628,0.5763060450553894,0.6114885807037354,0.49328386783599854,0.47936853766441345,0.48259449005126953,0.6529178023338318,0.4198015332221985,image_02875.jpg
0.5666946172714233,0.4685257375240326,0.5535939335823059,0.39968615770339966,0.49906590580940247,0.34399837255477905,0.6240932941436768,0.26838773488998413,image_04150.jpg
0.5274667739868164,0.5942725539207458,0.6124289631843567,0.4055711030960083,0.4076358377933502,0.4220310151576996,0.4973796010017395,0.5416814684867859,image_00816.jpg
0.4899955093860626,0.5709228515625,0.4198933243751526,0.3342892527580261,0.6225716471672058,0.48089808225631714,0.6243483424186707,0.4966703951358795,image_02351.jpg
0.5359991788864136,0.5358359813690186,0.5165854692459106,0.5320835709571838,0.5867342352867126,0.5282020568847656,0.6304742693901062,0.4524393081665039,image_06744.jpg
0.5593587160110474,0.6036417484283447,0.46705272793769836,0.49201953411102295,0.3925837576389313,0.4633205235004425,0.6062560677528381,0.43024757504463196,image_03121.jpg
0.3935677707195282,0.6634247303009033,0.5671536326408386,0.3972437381744385,0.3499889373779297,0.23953354358673096,0.7173247337341309,0.4982970654964447,image_11416.jpg
0.616682767868042,0.6074633598327637,0.5979508757591248,0.43177497386932373,0.3399656414985657,0.6335821151733398,0.556547999382019,0.43401920795440674,image_10346.jpg
0.40375933051109314,0.40781158208847046,0.6338242888450623,0.42046627402305603,0.46452829241752625,0.49794802069664,0.6074970364570618,0.3430269658565521,image_08429.jpg
0.4916609823703766,0.6136173605918884,0.48011791706085205,0.4785429835319519,0.40531623363494873,0.48468732833862305,0.6733174324035645,0.3647021949291229,image_02259.jpg
